,Brand,Model Name,Screen Size,RAM,Storage,CPU,Operating System,Price,Rating,Review Count,Graphic Card Description
51,acer,AL15-52,15.6 Inches,8 GB,No storage,Core i3,Windows 11 Home,"30,999",3.9,323 ratings,Integrated
52,Lenovo,Lenovo ThinkPad,14 Inches,16 GB,256 GB,Intel Core i5,Windows,No price,2.0,2 ratings,Integrated
53,acer,Aspire 3,15.6 Inches,8 GB,No storage,Celeron,Windows 11 Home,"22,990",3.3,218 ratings,Integrated
54,HP,HP Laptop,39.6 Centimetres,16 GB,512 GB,Intel Core i5,Windows 11 Home,"62,990",4.0,502 ratings,Dedicated
55,HP,255 G10,15.6 Inches,8 GB,512 GB,Ryzen 3,Windows 11,"26,875",2.0,3 ratings,Integrated
56,HP,HP Laptop,15.6 Inches,16 GB,512 GB,Core i5,Windows 11 Home,"55,200",3.8,136 ratings,Integrated
57,Lenovo,LOQ,15.6 Inches,,512 GB,Ryzen 7,Windows 11 Home,"91,490",4.1,15 ratings,Dedicated
58,HP,HP Victus,39.6 Centimetres,16 GB,1 TB,Intel Core i7,Windows 11 Home,"89,990",3.7,11 ratings,Dedicated
59,Lenovo,IdeaPad,15,8 GB,512 GB,Core i3,Windows 11,"34,275",4.0,239 ratings,Integrated
60,Lenovo,Lenovo Thinkpad W530,15.6 Inches,8 GB,No storage,Core i7 3740QM,Windows,No price,No rating,No review count,Dedicated
61,HP,HP Pavilion Laptop,14 Inches,16 GB,1 TB,Core i7,Windows 11 Home,"75,030",4.0,663 ratings,Integrated
62,HP,HP Pavilion Laptop,14 Inches,16 GB,No storage,Core i5,Windows 11 Home,"63,299",4.0,663 ratings,Integrated
63,Dell,Inspiron,15.6 Inches,8 GB,512 GB,Core i3,Windows 11 Home,"38,990",3.7,77 ratings,Integrated
64,HP,HP Laptop,39.6 Centimetres,8 GB,512 GB,Core i3,Windows 11 Home,"35,999",4.1,709 ratings,Integrated
65,HP,HP Laptop,39.6 Centimetres,16 GB,1 TB,Intel Core Ultra 5,Windows 11 Home,"73,990",3.3,13 ratings,Integrated
66,Dell,Dell Laptop,15.6 Inches,,1 TB,,Windows 11 Home,"77,990",4.0,"1,015 ratings",Dedicated
67,Lenovo,V15 G4 AMN,15.6 Inches,8 GB,512 GB,Ryzen 3,Windows 11 Pro,"26,980",3.3,14 ratings,Integrated
68,HP,HP EliteBook 840 G3,14 Inches,8 GB,No storage,Intel Core i5,Windows,No price,No rating,No review count,Integrated
